image,label
images/0.jpg,maclura_pomifera
images/1.jpg,maclura_pomifera
images/2.jpg,maclura_pomifera
images/3.jpg,maclura_pomifera
images/4.jpg,maclura_pomifera
images/5.jpg,maclura_pomifera
images/6.jpg,ulmus_rubra
images/7.jpg,broussonettia_papyrifera
images/8.jpg,maclura_pomifera
images/9.jpg,broussonettia_papyrifera
images/10.jpg,maclura_pomifera
images/11.jpg,prunus_virginiana
images/12.jpg,maclura_pomifera
images/13.jpg,prunus_virginiana
images/14.jpg,broussonettia_papyrifera
images/15.jpg,maclura_pomifera
images/16.jpg,maclura_pomifera
images/17.jpg,broussonettia_papyrifera
images/18.jpg,maclura_pomifera
images/19.jpg,ulmus_rubra
images/20.jpg,maclura_pomifera
images/21.jpg,maclura_pomifera
images/22.jpg,prunus_virginiana
images/23.jpg,broussonettia_papyrifera
images/24.jpg,maclura_pomifera
images/25.jpg,broussonettia_papyrifera
images/26.jpg,ulmus_rubra
images/27.jpg,prunus_virginiana
images/28.jpg,maclura_pomifera
images/29.jpg,ulmus_rubra
images/30.jpg,prunus_virginiana
images/31.jpg,acer_rubrum
images/32.jpg,broussonettia_papyrifera
images/33.jpg,maclura_pomifera
images/34.jpg,cryptomeria_japonica
images/35.jpg,maclura_pomifera
images/36.jpg,maclura_pomifera
images/37.jpg,acer_rubrum
images/38.jpg,maclura_pomifera
images/39.jpg,acer_rubrum
images/40.jpg,ulmus_rubra
images/41.jpg,maclura_pomifera
images/42.jpg,acer_rubrum
images/43.jpg,acer_rubrum
images/44.jpg,cryptomeria_japonica
images/45.jpg,acer_rubrum
images/46.jpg,broussonettia_papyrifera
images/47.jpg,prunus_virginiana
images/48.jpg,prunus_virginiana
images/49.jpg,broussonettia_papyrifera
images/50.jpg,prunus_virginiana
images/51.jpg,prunus_virginiana
images/52.jpg,broussonettia_papyrifera
images/53.jpg,acer_rubrum
images/54.jpg,prunus_virginiana
images/55.jpg,broussonettia_papyrifera
images/56.jpg,maclura_pomifera
images/57.jpg,maclura_pomifera
images/58.jpg,broussonettia_papyrifera
images/59.jpg,ulmus_rubra
images/60.jpg,acer_rubrum
images/61.jpg,cryptomeria_japonica
images/62.jpg,broussonettia_papyrifera
images/63.jpg,prunus_virginiana
images/64.jpg,staphylea_trifolia
images/65.jpg,maclura_pomifera
images/66.jpg,prunus_virginiana
images/67.jpg,maclura_pomifera
images/68.jpg,acer_rubrum
images/69.jpg,acer_rubrum
images/70.jpg,acer_rubrum
images/71.jpg,cryptomeria_japonica
images/72.jpg,broussonettia_papyrifera
images/73.jpg,asimina_triloba
images/74.jpg,ulmus_rubra
images/75.jpg,acer_rubrum
images/76.jpg,staphylea_trifolia
images/77.jpg,staphylea_trifolia
images/78.jpg,prunus_virginiana
images/79.jpg,acer_rubrum
images/80.jpg,cryptomeria_japonica
images/81.jpg,cryptomeria_japonica
images/82.jpg,cryptomeria_japonica
images/83.jpg,ulmus_rubra
images/84.jpg,asimina_triloba
images/85.jpg,maclura_pomifera
images/86.jpg,cryptomeria_japonica
images/87.jpg,maclura_pomifera
images/88.jpg,ulmus_rubra
images/89.jpg,asimina_triloba
images/90.jpg,cryptomeria_japonica
images/91.jpg,prunus_virginiana
images/92.jpg,diospyros_virginiana
images/93.jpg,ulmus_rubra
images/94.jpg,prunus_virginiana
images/95.jpg,diospyros_virginiana
images/96.jpg,cryptomeria_japonica
images/97.jpg,tilia_cordata
images/98.jpg,diospyros_virginiana
images/99.jpg,tilia_cordata
images/100.jpg,maclura_pomifera
images/101.jpg,asimina_triloba
images/102.jpg,tilia_cordata
images/103.jpg,broussonettia_papyrifera
images/104.jpg,ulmus_pumila
images/105.jpg,tilia_cordata
images/106.jpg,maclura_pomifera
images/107.jpg,maclura_pomifera
images/108.jpg,acer_rubrum
images/109.jpg,staphylea_trifolia
images/110.jpg,prunus_virginiana
images/111.jpg,asimina_triloba
images/112.jpg,prunus_virginiana
images/113.jpg,acer_rubrum
images/114.jpg,ulmus_pumila
images/115.jpg,ulmus_rubra
images/116.jpg,tilia_cordata
images/117.jpg,diospyros_virginiana
images/118.jpg,staphylea_trifolia
images/119.jpg,broussonettia_papyrifera
images/120.jpg,asimina_triloba
images/121.jpg,prunus_virginiana
images/122.jpg,broussonettia_papyrifera
images/123.jpg,cryptomeria_japonica
images/124.jpg,quercus_muehlenbergii
images/125.jpg,asimina_triloba
images/126.jpg,ulmus_rubra
images/127.jpg,quercus_muehlenbergii
images/128.jpg,broussonettia_papyrifera
images/129.jpg,maclura_pomifera
images/130.jpg,juglans_cinerea
images/131.jpg,maclura_pomifera
images/132.jpg,quercus_muehlenbergii
images/133.jpg,cryptomeria_japonica
images/134.jpg,staphylea_trifolia
images/135.jpg,ulmus_rubra
images/136.jpg,maclura_pomifera
images/137.jpg,cercis_canadensis
images/138.jpg,acer_rubrum
images/139.jpg,ptelea_trifoliata
images/140.jpg,maclura_pomifera
images/141.jpg,cercis_canadensis
images/142.jpg,broussonettia_papyrifera
images/143.jpg,cercis_canadensis
images/144.jpg,prunus_virginiana
images/145.jpg,staphylea_trifolia
images/146.jpg,asimina_triloba
images/147.jpg,ptelea_trifoliata
images/148.jpg,broussonettia_papyrifera
images/149.jpg,tilia_cordata
images/150.jpg,acer_rubrum
images/151.jpg,broussonettia_papyrifera
images/152.jpg,tilia_cordata
images/153.jpg,acer_palmatum
images/154.jpg,juglans_cinerea
images/155.jpg,acer_rubrum
images/156.jpg,juglans_cinerea
images/157.jpg,quercus_muehlenbergii
images/158.jpg,quercus_muehlenbergii
images/159.jpg,acer_palmatum
images/160.jpg,cercis_canadensis
images/161.jpg,tilia_cordata
images/162.jpg,prunus_virginiana
images/163.jpg,ulmus_rubra
images/164.jpg,maclura_pomifera
images/165.jpg,cryptomeria_japonica
images/166.jpg,catalpa_speciosa
images/167.jpg,abies_concolor
images/168.jpg,acer_rubrum
images/169.jpg,staphylea_trifolia
images/170.jpg,ulmus_rubra
images/171.jpg,asimina_triloba
images/172.jpg,acer_rubrum
images/173.jpg,acer_palmatum
images/174.jpg,staphylea_trifolia
images/175.jpg,asimina_triloba
images/176.jpg,broussonettia_papyrifera
images/177.jpg,ulmus_rubra
images/178.jpg,maclura_pomifera
images/179.jpg,maclura_pomifera
images/180.jpg,ulmus_rubra
images/181.jpg,diospyros_virginiana
images/182.jpg,juglans_cinerea
images/183.jpg,ulmus_rubra
images/184.jpg,prunus_virginiana
images/185.jpg,abies_concolor
images/186.jpg,tilia_cordata
images/187.jpg,ulmus_pumila
