40 381
1 2 3494
1 3 3362
1 8 19
1 12 1263
1 14 3086
1 15 2690
1 20 1717
1 23 4151
1 24 2576
1 26 4244
1 31 369
1 36 3459
1 37 2113
1 38 2761
1 39 1468
2 3 2431
2 4 1822
2 6 362
2 7 3191
2 8 215
2 9 3078
2 10 4999
2 11 790
2 12 3271
2 13 1142
2 18 355
2 25 3831
2 27 2300
2 28 3643
2 29 818
2 31 914
2 32 1731
2 33 4758
2 37 786
2 39 2674
3 4 3590
3 6 954
3 7 1211
3 9 1856
3 10 3925
3 13 3725
3 14 834
3 16 1470
3 18 3926
3 19 3589
3 20 159
3 21 4786
3 22 827
3 25 4688
3 26 2241
3 27 1030
3 29 1123
3 31 4854
3 34 4261
3 35 3214
3 37 3017
3 39 4269
4 5 3496
4 6 2802
4 9 1036
4 11 1533
4 12 4156
4 15 3737
4 21 2294
4 27 4506
4 28 4676
4 29 4787
4 31 2705
4 32 866
4 33 3565
4 34 2956
4 37 922
4 39 4005
5 6 982
5 9 2147
5 12 3799
5 15 4332
5 17 3142
5 21 3954
5 27 2943
5 29 1517
5 31 4248
5 32 1231
5 35 4232
5 38 512
5 39 4863
5 40 1187
6 8 1071
6 9 207
6 13 3007
6 15 4315
6 16 1977
6 20 4340
6 21 2908
6 27 4808
6 28 293
6 30 793
6 32 4333
6 33 2126
6 34 1685
6 36 4080
6 37 2890
6 39 2029
6 40 107
7 8 2191
7 9 2800
7 10 4590
7 11 3365
7 12 1691
7 13 940
7 16 3433
7 17 3583
7 19 863
7 21 4631
7 22 2227
7 23 4905
7 24 3381
7 26 296
7 28 3212
7 31 2717
7 36 3427
7 38 1367
7 40 2799
8 9 2749
8 12 1200
8 14 1070
8 16 2544
8 19 1830
8 20 4803
8 22 1528
8 23 1
8 24 1629
8 25 4712
8 28 117
8 30 4843
8 31 2485
8 32 2443
8 33 1254
8 34 2589
8 38 665
8 40 2416
9 13 3845
9 14 3874
9 15 2949
9 18 4833
9 19 1217
9 20 747
9 22 823
9 25 4295
9 31 1353
9 33 4007
9 36 3120
9 37 186
10 11 415
10 16 3222
10 20 2165
10 21 647
10 22 3957
10 24 2149
10 25 4057
10 26 4067
10 27 3050
10 28 1379
10 31 4319
11 12 4433
11 13 4875
11 14 2558
11 16 3314
11 17 2780
11 18 51
11 21 2901
11 23 356
11 24 4743
11 25 1881
11 27 3424
11 28 805
11 29 2211
11 31 4524
11 34 2621
11 35 1766
11 36 332
11 38 4494
11 40 4345
12 13 4969
12 14 1051
12 15 1531
12 22 4705
12 23 3119
12 26 3530
12 27 2556
12 28 4044
12 29 4966
12 30 524
12 32 4017
12 33 1065
12 38 2358
12 40 4125
13 14 2794
13 16 2055
13 18 4228
13 19 2318
13 20 4021
13 23 4139
13 24 1381
13 25 739
13 26 3104
13 27 4259
13 28 2327
13 30 4266
13 32 1531
13 34 544
13 38 2407
13 39 4449
13 40 80
14 16 44
14 17 253
14 19 4390
14 24 4477
14 25 3213
14 26 2761
14 27 3535
14 28 2273
14 32 757
14 33 3980
14 37 4192
14 39 3705
14 40 1278
15 16 776
15 18 4852
15 20 2529
15 22 2251
15 23 3093
15 24 1323
15 26 3185
15 27 678
15 28 1793
15 34 3574
15 36 4997
15 37 59
15 39 2767
16 18 1535
16 19 3066
16 24 4837
16 27 4149
16 29 411
16 37 2432
16 38 1055
16 39 3018
16 40 3232
17 19 2474
17 21 1896
17 23 2386
17 25 2931
17 31 4373
17 32 2993
17 34 156
17 35 1205
17 36 3022
17 37 3004
17 38 1947
17 40 1669
18 24 1696
18 26 3640
18 28 1733
18 29 3342
18 30 1376
18 32 1830
18 33 2148
18 35 1835
18 36 3808
18 37 3435
18 39 4547
19 21 1866
19 23 3032
19 28 2102
19 29 501
19 34 3342
19 39 3598
19 40 4951
20 21 1462
20 23 1183
20 25 2857
20 26 86
20 28 3679
20 29 1024
20 31 3256
20 32 4474
20 34 2381
20 35 2093
20 37 1512
20 39 4673
20 40 3488
21 22 249
21 25 2445
21 27 2423
21 28 4412
21 29 2258
21 30 4107
21 32 755
21 34 758
21 36 1320
21 38 962
21 40 4177
22 25 1912
22 28 4026
22 29 271
22 30 451
22 35 2914
22 37 2490
22 40 4681
23 24 1009
23 25 2182
23 26 4956
23 28 1499
23 29 1584
23 30 4925
23 31 4771
23 37 1742
23 40 518
24 28 570
24 34 1435
24 36 84
24 37 3058
24 39 3136
25 28 2155
25 33 4863
25 40 3398
26 27 3418
26 28 480
26 30 1333
26 33 3278
26 34 2722
26 36 775
26 37 3734
26 38 100
26 39 516
27 29 4390
27 31 634
27 33 264
27 34 3126
27 35 3240
27 38 4076
28 29 540
28 34 2278
28 37 382
28 38 840
28 39 1979
28 40 272
29 30 3333
29 31 1049
29 32 2315
29 33 825
29 35 4879
29 39 2167
30 32 4516
30 35 1209
30 36 4116
30 38 862
30 39 1038
31 36 2696
31 37 807
31 39 1483
31 40 2651
32 33 1748
32 34 4640
32 35 4828
32 36 1098
32 38 523
32 39 2861
32 40 4579
33 34 3464
33 35 4697
34 35 3074
34 36 1122
34 37 3923
34 38 2749
34 40 1241
35 36 2423
35 37 1009
35 38 4844
38 40 3005
