1000 5041
1 52 2975
1 124 2145
1 157 4541
1 345 1508
1 381 473
1 588 130
1 654 2661
1 701 2218
1 776 2486
1 796 188
1 837 969
1 901 3591
1 989 317
2 100 39
2 104 3347
2 337 3850
2 390 4588
2 503 3982
2 647 3415
2 732 886
2 940 436
3 128 3553
3 434 4181
3 616 776
3 822 502
3 940 2287
3 958 821
3 965 498
4 76 2111
4 225 4608
4 235 3803
4 255 1454
4 326 2045
4 617 1947
4 751 2316
4 889 4477
4 897 3739
4 929 1727
5 17 2563
5 60 2191
5 113 866
5 309 1115
5 363 2184
5 469 3271
5 545 986
5 717 3785
5 748 2049
5 916 1314
5 934 4677
5 967 107
6 37 1820
6 315 4481
6 376 326
6 411 3064
6 459 22
6 524 157
6 743 1989
6 869 3559
7 28 2751
7 47 1245
7 116 3960
7 187 4049
7 228 1403
7 292 4534
7 897 4565
8 63 129
8 153 711
8 329 2525
8 421 3758
8 493 4733
8 768 2567
8 888 4585
9 137 887
9 240 4296
9 250 4370
9 252 2013
9 370 880
9 427 3113
9 452 2215
9 544 969
9 574 2591
9 707 1104
9 789 2478
9 925 857
10 49 2563
10 92 3462
10 102 3072
10 233 817
10 497 2144
10 512 3854
10 597 3193
10 817 3093
10 879 2578
10 886 180
10 895 1537
11 84 4822
11 141 200
11 200 3840
11 228 702
11 252 610
11 350 4493
11 386 3216
11 411 246
11 419 806
11 450 844
11 476 4617
11 495 3838
11 637 389
11 702 2636
11 707 4854
11 794 776
11 984 4557
12 104 479
12 112 4607
12 211 362
12 379 4731
12 463 2102
12 533 2710
12 712 2919
12 747 1196
12 804 2743
13 86 3795
13 125 3971
13 204 4081
13 230 1322
13 259 4270
13 431 2446
13 471 4886
13 574 4899
13 954 3282
14 317 3334
14 353 1907
14 609 4363
14 703 4612
14 719 2530
14 758 3517
14 926 3018
15 51 1243
15 82 3123
15 216 2291
15 451 4493
15 601 1677
15 636 1703
15 675 3299
15 782 4348
15 836 4634
15 843 2511
15 951 2242
15 984 3821
16 54 4241
16 145 2963
16 177 3342
16 178 1950
16 190 1099
16 272 1863
16 299 571
16 375 4894
16 410 4560
16 455 2344
16 517 1981
16 684 226
16 721 2628
16 915 420
17 33 1800
17 70 3994
17 141 4881
17 242 3239
17 296 3126
17 297 4918
17 377 3246
17 396 3884
17 545 2290
17 703 2987
17 711 2468
17 857 1688
18 66 2342
18 79 4851
18 129 989
18 130 2893
18 203 3585
18 298 309
18 319 113
18 358 670
18 407 2145
18 491 266
18 786 2647
19 246 3390
19 331 1019
19 347 1665
19 468 2009
19 520 1987
19 634 922
19 646 2676
19 733 2842
19 743 4487
19 802 3964
20 60 1644
20 123 3987
20 187 4096
20 295 1137
20 431 1532
20 535 3610
20 844 1910
20 930 4447
20 936 2081
21 272 3556
21 295 2989
21 356 170
21 377 4998
21 433 2009
21 681 2647
21 718 1650
21 730 4666
21 947 33
22 104 2348
22 149 432
22 261 344
22 288 443
22 315 3864
22 400 787
22 438 2634
22 555 1673
22 567 2984
22 577 2910
22 747 1606
22 854 4097
23 178 1938
23 210 1252
23 212 3646
23 353 3637
23 440 2588
23 568 3767
23 905 1626
24 84 553
24 106 394
24 114 3816
24 141 1591
24 299 1710
24 461 3849
24 575 3409
24 621 4994
24 710 1520
24 777 686
24 911 1926
24 924 564
25 191 4765
25 239 4083
25 240 308
25 334 553
25 362 1764
25 404 2799
25 635 2442
25 696 4782
25 710 2118
25 767 838
26 94 2894
26 161 4024
26 210 2352
26 336 2649
26 390 527
26 572 625
26 646 2822
26 804 2254
26 959 3474
27 196 2474
27 313 3541
